scientific_name,license,author,image_url,wikimedia_page
Aechmea fendleri,CC0,Tortie_tude,https://upload.wikimedia.org/wikipedia/commons/b/bd/Aechmea_fendleri.jpg,https://commons.wikimedia.org/wiki/File%3AAechmea%20fendleri.jpg
Aechmea fulgens,PD,"Bois, D.; Frederick Warne (Firm); Herincq, B.; Step, Edward; Watson, William",https://upload.wikimedia.org/wikipedia/commons/a/aa/Favourite_flowers_of_garden_and_greenhouse_%288346023418%29.jpg,https://commons.wikimedia.org/wiki/File%3AFavourite%20flowers%20of%20garden%20and%20greenhouse%20%288346023418%29.jpg
Aechmea recurvata,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/3/3c/Aechmea_recurvata_-_Palmengarten_Frankfurt_-_DSC01759.JPG,https://commons.wikimedia.org/wiki/File%3AAechmea%20recurvata%20-%20Palmengarten%20Frankfurt%20-%20DSC01759.JPG
Aegopodium podagraria,PD,Unknown,https://upload.wikimedia.org/wikipedia/commons/e/e7/Illustration_Aegopodium_podagraria0.jpg,https://commons.wikimedia.org/wiki/File%3AIllustration%20Aegopodium%20podagraria0.jpg
Aeonium 'Lily Pad',,,,
Aeonium arboreum 'Atropureum',,,,
Aeonium arboreum,CC0,Solarence,https://upload.wikimedia.org/wikipedia/commons/9/91/Aeonium_arborescens_-_big.jpg,https://commons.wikimedia.org/wiki/File%3AAeonium%20arborescens%20-%20big.jpg
Aeonium canariense,PD,Tangopaso,https://upload.wikimedia.org/wikipedia/commons/d/d5/Aeonium_canariense_Roquebrune.jpg,https://commons.wikimedia.org/wiki/File%3AAeonium%20canariense%20Roquebrune.jpg
Aeonium decorum 'Variegata',,,,
Aeonium haworthii,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/9/98/Aeonium_haworthii_-_Botanischer_Garten%2C_Frankfurt_am_Main_-_DSC03148.JPG,https://commons.wikimedia.org/wiki/File%3AAeonium%20haworthii%20-%20Botanischer%20Garten%2C%20Frankfurt%20am%20Main%20-%20DSC03148.JPG
Aeonium sedifolium,,,,
